Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
PIRAFLUFEN ETIL;(Herbicida);Trigo (grano consumo);0.1;
PIRETRINAS;(Insecticida);Pimiento;1;
PIRETRINAS;(Insecticida);Tomate;1;
PIRIDAFENTION;(Insecticida);Apio;0.05;
PIRIDAFENTION;(Insecticida);Berenjena;0.05;
PIRIDAFENTION;(Insecticida);Chaucha;0.05;
PIRIDAFENTION;(Insecticida);Frutilla;0.1;
PIRIDAFENTION;(Insecticida);Maíz dulce (grano consumo);0.05;
PIRIDAFENTION;(Insecticida);Manzana;0.3;
PIRIDAFENTION;(Insecticida);Pimiento;0.05;
PIRIDAFENTION;(Insecticida);Tomate;0.05;
PIRIDAFENTION;(Insecticida);Forestales   ;Exento;
PIRIMICARB;(Insecticida);Alfalfa (forraje);50;
PIRIMICARB;(Insecticida);Arveja (grano consumo);0.5;
PIRIMICARB;(Insecticida);Avena (grano consumo);0.05;
PIRIMICARB;(Insecticida);Berenjena;0.5;
PIRIMICARB;(Insecticida);Cebada (grano consumo);0.05;
PIRIMICARB;(Insecticida);Centeno (grano consumo);0.05;
PIRIMICARB;(Insecticida);Ciruela;0.2;
PIRIMICARB;(Insecticida);Coliflor;0.5;
PIRIMICARB;(Insecticida);Damasco;0.2;
PIRIMICARB;(Insecticida);Durazno;0.2;
PIRIMICARB;(Insecticida);Cítricos en general (excepto naranja);0.05;
PIRIMICARB;(Insecticida);Endivia;2;
PIRIMICARB;(Insecticida);Escarola;7;
PIRIMICARB;(Insecticida);Haba;0.5;
PIRIMICARB;(Insecticida);Lechuga;0.5;
PIRIMICARB;(Insecticida);Lenteja (grano consumo);0.5;
PIRIMICARB;(Insecticida);Maíz (grano consumo);0.05;
PIRIMICARB;(Insecticida);Melón;0.5;
PIRIMICARB;(Insecticida);Naranja;0.5;
PIRIMICARB;(Insecticida);Papa;0.05;
PIRIMICARB;(Insecticida);Nectarín / Pelón;0.2;
PIRIMICARB;(Insecticida);Pimiento;0.5;
PIRIMICARB;(Insecticida);Remolacha (raíz);0.05;
PIRIMICARB;(Insecticida);Repollo;0.5;
PIRIMICARB;(Insecticida);Rúcula;7;
PIRIMICARB;(Insecticida);Sandía;0.5;
PIRIMICARB;(Insecticida);Sorgo (grano consumo);0.05;
PIRIMICARB;(Insecticida);Trigo (grano consumo);0.05;
PIRIMICARB;(Insecticida);Zapallo;0.5;
PIRIMICARB;(Insecticida);Crisantemo y Rosal;Exento;
PIRIMICARB;(Insecticida);Repollito de Bruselas;4;
PIRIMIFOS  METIL;(Insecticida - Acaricida - Gorgojicida - Hormiguicida);Arroz (grano pulido);1;Po
PIRIMIFOS  METIL;(Insecticida - Acaricida - Gorgojicida - Hormiguicida);Arroz (grano sin cáscara);2;Po
PIRIMIFOS  METIL;(Insecticida - Acaricida - Gorgojicida - Hormiguicida);Arroz C/cascara (grano almacenado);10;Po
PIRIMIFOS  METIL;(Insecticida);cebada (grano almacenado);10;Po
PIRIMIFOS  METIL;(Insecticida - Acaricida - Gorgojicida - Hormiguicida);Granos de cereales almacenados;10;Po
PIRIMIFOS  METIL;(Insecticida);Harina blanca de Trigo;2;Po
PIRIMIFOS  METIL;(Insecticida);Maíz (grano consumo);10;
PIRIMIFOS  METIL;(Insecticida);Harina integral de Trigo;5;Po
PIRIMIFOS  METIL;(Insecticida);Harina de Centeno;5;Po
PIRIMIFOS  METIL;(Insecticida);Salvado de Arroz;20;Po
PIRIMIFOS  METIL;(Insecticida);Salvado de trigo;20;Po
PIRIMIFOS  METIL;(Insecticida);sorgo (grano almacenado);10;Po
PIRIMIFOS  METIL;(Insecticida);Uva (de mesa y vinificación);2;
PIROXASULFONE;(Herbicida);Cebada ;0.01;
PIROXASULFONE;(Herbicida);Maíz (grano consumo);0.01;
PIROXASULFONE;(Herbicida);Soja;0.01;
PIROXASULFONE;(Herbicida);Trigo;0.01;
POLIOXI ESTER AMINO GRASO;(Coadyuvante);;Exento;
POLISULFURO DE CALCIO;(Coadyuvante);;Exento;
POLYPHASE;(Preservador de madera);;Exento;
PRIMISULFURON;(Herbicida);Maíz (forraje);0.05;
PRIMISULFURON;(Herbicida);Maíz (grano consumo);0.05;
PRIMISULFURON;(Herbicida);Maíz (silaje);0.05;
PROCIMIDONE;(Fungicida)  ;Acelga;10;
PROCIMIDONE;(Fungicida)  ;Achicoria;10;
PROCIMIDONE;(Fungicida)  ;Albahaca;12;
PROCIMIDONE;(Fungicida)  ;Alcaucil;2;
PROCIMIDONE;(Fungicida)  ;Berenjena;2;
PROCIMIDONE;(Fungicida)  ;Brócoli;1;
PROCIMIDONE;(Fungicida)  ;Cebolla (consumo);1;
PROCIMIDONE;(Fungicida)  ;Cilantro;12;
PROCIMIDONE;(Fungicida)  ;Coliflor;1;
PROCIMIDONE;(Fungicida)  ;Endivia;0.02;
PROCIMIDONE;(Fungicida)  ;Eneldo;12;
PROCIMIDONE;(Fungicida)  ;Escarola;10;
PROCIMIDONE;(Fungicida)  ;Espinaca;10;
PROCIMIDONE;(Fungicida)  ;Frutilla;2;
PROCIMIDONE;(Fungicida)  ;Girasol (Grano consumo);1;
PROCIMIDONE;(Fungicida)  ;Lechuga;1;
PROCIMIDONE;(Fungicida)  ;Melón;1;
PROCIMIDONE;(Fungicida)  ;Oregano;12;
PROCIMIDONE;(Fungicida)  ;Pepino;2;
PROCIMIDONE;(Fungicida)  ;Pimiento;2;
PROCIMIDONE;(Fungicida)  ;Poroto (grano consumo);2;
PROCIMIDONE;(Fungicida)  ;Romero;12;
PROCIMIDONE;(Fungicida)  ;Salvia;12;
PROCIMIDONE;(Fungicida)  ;Tomate;2;
PROCIMIDONE;(Fungicida)  ;Tomillo;12;
PROCIMIDONE;(Fungicida)  ;Uva (vinificación);1.5;
PROCIMIDONE;(Fungicida)  ;Zapallito de tronco;2;
PROCIMIDONE;(Fungicida)  ;Zapallo;2;
PROCLORAZ;(Fungicida)  ;Ajo (consumo);0.05;
PROCLORAZ;(Fungicida)  ;Cebada (grano consumo);0.5;
PROCLORAZ;(Fungicida)  ;Granada;0.05;
PROCLORAZ;(Fungicida)  ;Limón;5;Po
PROCLORAZ;(Fungicida)  ;Mandarina;5;Po
PROCLORAZ;(Fungicida)  ;Naranja;5;Po
PROCLORAZ;(Fungicida)  ;Papa;0.1;
PROCLORAZ;(Fungicida)  ;Pomelo;5;Po
PROCLORAZ;(Fungicida);Soja (grano consumo) ;0.006;
PROCLORAZ;(Fungicida)  ;Trigo (grano consumo);0.5;
PROFENOFOS;(Insecticida);Ajo;0.2;
PROFENOFOS;(Insecticida);Algodón (aceite);0.02;
PROFENOFOS;(Insecticida);Algodón (semilla consumo);0.1;
PROFENOFOS;(Insecticida);Colza (grano consumo);0.02;
PROFENOFOS;(Insecticida);Girasol (aceite);0.05;
PROFENOFOS;(Insecticida);Girasol (Grano consumo);1;
PROFENOFOS;(Insecticida);Praderas (naturales);1;
PROFENOFOS;(Insecticida);Pasturas consociadas (leguminosas y gramíneas);1;
PROFENOFOS;(Insecticida);Radiccio;0.05;
PROFENOFOS;(Insecticida);Soja (aceite);0.05;
PROFENOFOS;(Insecticida);Soja (grano consumo);0.05;
PROFOXIDIM /CLEFOXIDIM;(Herbicida);Arroz (grano consumo);0.05;
PROFOXIDIM /CLEFOXIDIM;(Herbicida);Arroz (forraje seco);0.05;
PROMETRINA;(Herbicida);Ajo (consumo);0.1;
PROMETRINA;(Herbicida);Alcaucil;0.2;
PROMETRINA;(Herbicida);Algodón (semilla consumo);0.1;
PROMETRINA;(Herbicida);Apio;0.1;
PROMETRINA;(Herbicida);Arveja (grano consumo);0.1;
PROMETRINA;(Herbicida);Cebolla (consumo);0.1;
PROMETRINA;(Herbicida);Comino (semilla consumo);0.1;
PROMETRINA;(Herbicida);Girasol (Grano consumo);0.1;
PROMETRINA;(Herbicida);Hinojo;0.1;
PROMETRINA;(Herbicida);Lenteja (grano consumo);0.1;
PROMETRINA;(Herbicida);Menta;0.1;
PROMETRINA;(Herbicida);Orégano;0.2;
PROMETRINA;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);0.1;
PROMETRINA;(Herbicida);Perejil;0.1;
PROMETRINA;(Herbicida);Pimiento;0.2;
PROMETRINA;(Herbicida);Soja (forraje);0.2;
PROMETRINA;(Herbicida);Soja (grano consumo);0.1;
PROMETRINA;(Herbicida);Tomate;0.2;
PROMETRINA;(Herbicida);Zanahoria;0.1;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Alcaucil;7;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Cebolla (consumo);0.15;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Lechuga;20;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Melón;0.5;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Papa;1;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Pimiento;1.5;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Sandía;1;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Tabaco ;Exento;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Tomate;0.3;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Zapallito de tronco;0.8;
PROPAMOCARB  CLORHIDRATO;(Fungicida)  ;Zapallo;0.8;
PROPAMOCARB  CLORHIDRATO;(Fungicida - Tratamiento de semillas)  ;Florales y ornamentales;Exento;
PROPAMOCARB  CLORHIDRATO;(Fungicida - Tratamiento de semillas)  ;Girasol, soja, maní y maìz;Exento;
PROPAMOCARB  CLORHIDRATO;(Insecticida);Repollito de Bruselas;12;
PROPANIL;(Herbicida);Arroz (grano consumo);2;
PROPANIL;(Herbicida);Arroz (forraje seco);75;
PROPANIL;(Herbicida);Arroz (salvado);10;
PROPAQUIZAFOP;(Herbicida);Algodón (con cáscara);0.02;
PROPAQUIZAFOP;(Herbicida);Algodón (semilla consumo);0.02;
PROPAQUIZAFOP;(Herbicida);Cebolla (consumo);0.05;
PROPAQUIZAFOP;(Herbicida);Girasol (Grano consumo);0.05;
PROPAQUIZAFOP;(Herbicida);Maní (sin cáscara);0.05;
PROPAQUIZAFOP;(Herbicida);Poroto (grano consumo);0.05;
PROPAQUIZAFOP;(Herbicida);Soja (grano consumo);0.05;
PROPARGITE;(Acaricida)  ;Ciruela;2;
PROPARGITE;(Acaricida)  ;Durazno;2;
PROPARGITE;(Acaricida)  ;Manzana;0.6;
PROPARGITE;(Acaricida)  ;Nuez;0.1;
PROPARGITE;(Acaricida)  ;Pera;2;
PROPARGITE;(Acaricida)  ;Pimiento;2;
PROPARGITE;(Acaricida)  ;Te;1;
PROPARGITE;(Acaricida)  ;Tomate;2;
PROPARGITE;(Acaricida)  ;Uva (de mesa);2;
PROPARGITE;(Acaricida)  ;Florales y ornamentales;Exento;
PROPICONAZOLE;(Fungicida)  ;Avena (grano consumo);0.05;
PROPICONAZOLE;(Fungicida)  ;Banana (con cáscara);0.1;
PROPICONAZOLE;(Fungicida)  ;Cebada (grano consumo);1.5;
PROPICONAZOLE;(Fungicida)  ;Cítricos en general;6;
PROPICONAZOLE;(Fungicida)  ;Girasol (Grano consumo);0.05;
PROPICONAZOLE;(Fungicida)  ;Maíz (grano consumo);0.05;
PROPICONAZOLE;(Fungicida)  ;Maní (con cáscara);0.1;
PROPICONAZOLE;(Fungicida)  ;Maní (sin cáscara);0.05;
PROPICONAZOLE;(Fungicida)  ;Papa;0.05;
PROPICONAZOLE;(Fungicida)  ;Soja (grano consumo);0.05;
PROPICONAZOLE;(Fungicida)  ;Trigo (grano consumo);0.4;
PROPINEB;(Fungicida);Apio;3;
PROPINEB;(Fungicida);Ciruela;1;
PROPINEB;(Fungicida);Durazno;3;
PROPINEB;(Fungicida);Cítricos en general;2;
PROPINEB;(Fungicida);Lúpulo;0.2;
PROPINEB;(Fungicida);Manzana;2;
PROPINEB;(Fungicida);Papa;0.1;
PROPINEB;(Fungicida);Pera;2;
PROPINEB;(Fungicida);Tomate;3;
PROPINEB;(Fungicida);Uva (de mesa);5;
PROPINEB;(Fungicida);Ornamentales ( Clavel, gladiolo, rosal);Exento;
PROPIZAMIDA;(Herbicida);Alfalfa (forraje);5;
PROPIZAMIDA;(Herbicida);Escarola;0.3;
PROPIZAMIDA;(Herbicida);Lechuga;0.3;
PROPIZAMIDA;(Herbicida);Endivia;0.02;
PROPIZAMIDA;(Herbicida);Radiccio;1;
PROSULFURON;(Herbicida);Cebada (grano consumo);0.002;
PROSULFURON;(Herbicida);Maíz (forraje);0.01;
PROSULFURON;(Herbicida);Maíz (grano consumo);0.01;
PROSULFURON;(Herbicida);Sorgo (grano consumo);0.01;
PROSULFURON;(Herbicida);Trigo (grano consumo);0.01;
PROTHIOCONAZOLE;(Fungicida - Tratamiento de semillas);Cebada (grano consumo);Exento;
PROTHIOCONAZOLE;(Fungicida);Cebada (grano consumo);0.01;
PROTHIOCONAZOLE;(Fungicida);Maní;0.02;
PROTHIOCONAZOLE;(Fungicida - Tratamiento de semillas);Pasturas de gramíneas (Festuca arundinácea, Dactylis glomerata, Lolium multiflorum, Phalaris canariensis, Avena sp., Agropyron sp.);Exento;
PROTHIOCONAZOLE;(Fungicida);Soja (grano consumo);0.02;
PROTHIOCONAZOLE;(Fungicida - Tratamiento de semillas);Trigo (grano consumo);Exento;
PROTHIOCONAZOLE;(Fungicida);Trigo (grano consumo);0.01;
PYDIFLUMETOFEN;(Fungicida);Maní;0.015;
PYDIFLUMETOFEN;(Fungicida);Papa;0.01;
PYDIFLUMETOFEN;(Fungicida);Pimiento;0.55;
PYDIFLUMETOFEN;(Fungicida);Soja;0.01;
PYDIFLUMETOFEN;(Fungicida);Tomate;0.15;
PYDIFLUMETOFEN;(Fungicida);Uva (de mesa);1.5;
PYDIFLUMETOFEN;(Fungicida); Uva (vinificación);0.5;
PYMETROZINE;(Insecticida);Algodón (semilla consumo);0.02;
PYMETROZINE;(Insecticida);Papa;0.05;
PYMETROZINE;(Insecticida);Tomate;0.5;
PYRACLOSTROBIN;(Fungicida);Ajo (consumo);0.05;
PYRACLOSTROBIN;(Fungicida);Algodón;0.2;
PYRACLOSTROBIN;(Fungicida);Arándano;0.5;
PYRACLOSTROBIN;(Fungicida);Arveja (grano consumo);0.3;
PYRACLOSTROBIN;(Fungicida);Cebada;0.5;
PYRACLOSTROBIN;(Fungicida);Cebolla (consumo);0.5;
PYRACLOSTROBIN;(Fungicida);Durazno;0.2;
PYRACLOSTROBIN;(Fungicida);Frutilla;0.5;
PYRACLOSTROBIN;(Fungicida);Garbanzo (grano consumo);0.3;
PYRACLOSTROBIN;(Fungicida);Limón;1;
PYRACLOSTROBIN;(Fungicida);Naranja;1;
PYRACLOSTROBIN;(Fungicida);Soja (aceite);0.1;
PYRACLOSTROBIN;(Fungicida);Soja (grano consumo);0.05;
PYRACLOSTROBIN;(Fungicida);Trigo (grano consumo);0.2;
PYRACLOSTROBIN;(Fungicida);Maní (sin cáscara);0.05;
PYRACLOSTROBIN;(Fungicida);Mandarina;0.5;
PYRACLOSTROBIN;(Fungicida);Poroto (grano consumo);0.1;
PYRACLOSTROBIN;(Fungicida);Uva (de mesa);2;
PYRACLOSTROBIN;(Fungicida);Uva (vinificación);2;
PYRACLOSTROBIN;(Fungicida);Papa;0.04;
PYRACLOSTROBIN;(Fungicida);Pimiento;0.5;
PYRACLOSTROBIN;(Fungicida);Pomelo;1;
PYRACLOSTROBIN;(Fungicida);Radiccio;2;
PYRACLOSTROBIN;(Fungicida);Tomate;0.2;
PYRACLOSTROBIN;(Fungicida);Maíz (aceite);0.3;
PYRACLOSTROBIN;(Fungicida);Maíz (grano consumo);0.1;
PYRACLOSTROBIN;(Fungicida);Girasol (Grano consumo);0.05;
PYRACLOSTROBIN;(Fungicida);Girasol (aceite);0.05;
PYRACLOSTROBIN;(Fungicida);Pera;0.5;
PYRACLOSTROBIN;(Fungicida);Manzana;0.5;
PYRIMETANIL;(Fungicida)  ;Frutilla;1;
PYRIMETANIL;(Fungicida)  ;Naranja;5;Po
PYRIMETANIL;(Fungicida)  ;Mandarina;5;Po
PYRIMETANIL;(Fungicida)  ;Manzana;15;Po
PYRIMETANIL;(Fungicida)  ;Pera;15;Po
PYRIMETANIL;(Fungicida)  ;Pomelo;5;Po
PYRIMETANIL;(Fungicida)  ;Limón;5;Po
PYRIMETANIL;(Fungicida)  ;Uva (de mesa);5;
PYRIMETANIL;(Fungicida)  ;Uva (de mesa);5;Po
PYRIPROXYFEN;(Insecticida);Berro;3;
PYRIPROXYFEN;(Insecticida);Escarola;3;
PYRIPROXYFEN;(Insecticida);Limón;0.15;
PYRIPROXYFEN;(Insecticida);Pera;0.2;
PYRIPROXYFEN;(Insecticida);Manzana;0.2;
PYRIPROXYFEN;(Insecticida);Lechuga;3;
PYRIPROXYFEN;(Insecticida);Radicheta;3;
PYRIPROXYFEN;(Insecticida);Rúcula;3;
PYRIPROXYFEN;(Insecticida);Tomate;0.1;
PYRIPROXYFEN;(Insecticida);Florales y ornamentales;Exento;
PYRlDABEN;(Acaricida - Insecticida);Manzana;0.5;
PYRlDABEN;(Acaricida - Insecticida);Pera;0.5;
PYRlDABEN;(Acaricida - Insecticida);Pimiento;0.7;
PYRlDABEN;(Acaricida - Insecticida);Tomate;0.1;
PYRlDABEN;(Acaricida - Insecticida);Crisantemo/ Clavel / Rosal;Exento;
PYROXSULAM;(Herbicida);Trigo (grano consumo);0.01;
QUINCLORAC;(Herbicida);Arroz (grano consumo);0.05;
QUINCLORAC;(Herbicida);Arroz (forraje seco);0.05;
QUINOXYFEN;(Fungicida)  ;Frutilla;1;
QUINOXYFEN;(Fungicida)  ;Uva (de mesa y vinificación);1;
QUITOSANO;(Fitorregulador - Fungicida - Tratamiento de semillas);Maíz (grano consumo);Exento;
QUITOSANO;(Fitorregulador - Fungicida - Tratamiento de semillas);Soja;Exento;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Alfalfa (forraje);0.02;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Algodón (semilla consumo);0.02;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Girasol (Grano consumo);0.04;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Poroto (grano consumo);0.02;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Maní (sin cáscara);0.01;
QUIZALOFOP - ETIL /ACIPROFEN ETIL;(Herbicida);Soja (grano consumo);0.05;
QUIZALOFOP- P- TEFURIL;(Herbicida);Algodón (aceite);0.02;
QUIZALOFOP- P- TEFURIL;(Herbicida);Algodón (semilla consumo);0.02;
QUIZALOFOP- P- TEFURIL;(Herbicida);Girasol (aceite);0.02;
QUIZALOFOP- P- TEFURIL;(Herbicida);Girasol (Grano consumo);0.02;
QUIZALOFOP- P- TEFURIL;(Herbicida);Maní (sin cáscara);0.05;
QUIZALOFOP- P- TEFURIL;(Herbicida);Papa;0.01;
QUIZALOFOP- P- TEFURIL;(Herbicida);Poroto (grano consumo);0.02;
QUIZALOFOP- P- TEFURIL;(Herbicida);Soja (aceite);0.01;
QUIZALOFOP- P- TEFURIL;(Herbicida);Soja (grano consumo);0.05;
RIANODINA;(Insecticida);;Exento;
RIMSULFURON;(Herbicida);Papa;0.05;
RIMSULFURON;(Herbicida);Tomate;0.05;
SAFLUFENACIL;Herbicida;Algodón;0.2;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Cebada;Exento;
SAFLUFENACIL;Herbicida;Eucaliptus;Exento;
SAFLUFENACIL;Herbicida;Girasol;0.7;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Limón;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Maíz (grano consumo);Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Mandarina;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Maní;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Manzana;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Naranja;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Pera;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Soja;Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Sorgo (grano consumo);Exento;
SAFLUFENACIL;(Herbicida para Barbecho químico y entre surco);Trigo (grano consumo);Exento;
SALES CCA;(Preservador de madera);;Exento;
SAPONINAS;(Coadyuvante);;Exento;
SEDAXANE;(Fungicida - Tratamiento de semillas);Cebada;Exento;
SEDAXANE;(Fungicida - Tratamiento de semillas);Trigo (grano consumo);Exento;
SEDAXANE;(Fungicida - Tratamiento de semillas);Cebada;Exento;
SERRICORNIN;(Feromona);;Exento;
SETHOXIDIM;(Herbicida);Aceituna (fresca);1;
SETHOXIDIM;(Herbicida);Acelga;1;
SETHOXIDIM;(Herbicida);Ajo (consumo);0.5;
SETHOXIDIM;(Herbicida);Alfalfa (forraje);1;
SETHOXIDIM;(Herbicida);Algodón (semilla consumo);0.5;
SETHOXIDIM;(Herbicida);Apio;1;
SETHOXIDIM;(Herbicida);Arándano;2;
SETHOXIDIM;(Herbicida);Arroz (grano consumo);0.05;
SETHOXIDIM;(Herbicida);Arveja (grano consumo);0.5;
SETHOXIDIM;(Herbicida);Batata;0.5;
SETHOXIDIM;(Herbicida);Berenjena;1;
SETHOXIDIM;(Herbicida);Brócoli;2;
SETHOXIDIM;(Herbicida);Cebolla (consumo);0.5;
SETHOXIDIM;(Herbicida);Cereza;1;
SETHOXIDIM;(Herbicida);Chaucha;0.5;
SETHOXIDIM;(Herbicida);Ciruela;1;
SETHOXIDIM;(Herbicida);Coliflor;2;
SETHOXIDIM;(Herbicida);Damasco;1;
SETHOXIDIM;(Herbicida);Durazno;1;
SETHOXIDIM;(Herbicida);Espárrago (consumo);0.5;
SETHOXIDIM;(Herbicida);Espinaca;1;
SETHOXIDIM;(Herbicida);Frambuesa;2;
SETHOXIDIM;(Herbicida);Frutilla;1;
SETHOXIDIM;(Herbicida);Cítricos en general;1;
SETHOXIDIM;(Herbicida);Girasol (Grano consumo);0.5;
SETHOXIDIM;(Herbicida);Guinda;1;
SETHOXIDIM;(Herbicida);Lechuga;1;
SETHOXIDIM;(Herbicida);Lenteja (grano consumo);0.5;
SETHOXIDIM;(Herbicida);Lino (grano consumo);0.5;
SETHOXIDIM;(Herbicida);Maíz (forraje);0.05;
SETHOXIDIM;(Herbicida);Maíz (grano consumo);0.05;
SETHOXIDIM;(Herbicida);Maní (sin cáscara);0.5;
SETHOXIDIM;(Herbicida);Manzana;1;
SETHOXIDIM;(Herbicida);Melón;1;
SETHOXIDIM;(Herbicida);Membrillo;1;
SETHOXIDIM;(Herbicida);Menta ;0.5;
SETHOXIDIM;(Herbicida);Nuez;0.2;
SETHOXIDIM;(Herbicida);Papa;0.5;
SETHOXIDIM;(Herbicida);Nectarín / Pelón;1;
SETHOXIDIM;(Herbicida);Pepino;1;
SETHOXIDIM;(Herbicida);Pera;1;
SETHOXIDIM;(Herbicida);Pimiento;1;
SETHOXIDIM;(Herbicida);Poroto (grano consumo);0.5;
SETHOXIDIM;(Herbicida);Remolacha (raíz);0.5;
SETHOXIDIM;(Herbicida);Repollito de Bruselas;2;
SETHOXIDIM;(Herbicida);Sandía;1;
SETHOXIDIM;(Herbicida);Soja (grano consumo);0.5;
SETHOXIDIM;(Herbicida);Tabaco ;Exento;
SETHOXIDIM;(Herbicida);Tomate;1;
SETHOXIDIM;(Herbicida);Uva (de mesa);1;
SETHOXIDIM;(Herbicida);Zanahoria;0.5;
SETHOXIDIM;(Herbicida);Zapallo;1;
SETHOXIDIM;(Herbicida);Zarzamora;2;
SIMAZINA;(Herbicida);Alcaucil;0.1;
SIMAZINA;(Herbicida);Alfalfa (forraje);0.5;
SIMAZINA;(Herbicida);Caña de azúcar (tallo fresco);0.2;
SIMAZINA;(Herbicida);Maíz (forraje);0.5;
SIMAZINA;(Herbicida);Maíz (grano consumo);0.2;
SIMAZINA;(Herbicida);Té;0.2;
SPINETORAM;(Insecticida);Durazno;0.2;
SPINETORAM;(Insecticida);Maíz (grano consumo);0.01;
SPINETORAM;(Insecticida);Maíz (Aceite);0.5;
SPINETORAM;(Insecticida);Manzana;0.2;
SPINETORAM;(Insecticida);Nectarín / Pelón;0.2;
SPINETORAM;(Insecticida);Pera;0.2;
SPINETORAM;(Insecticida);     Uva (de mesa y vinificación)             ;0.3;
SPINOSAD;(Insecticida);Acelga;10;
SPINOSAD;(Insecticida);Achicoria;10;
SPINOSAD;(Insecticida);Albahaca;10;
SPINOSAD;(Insecticida);Algodón (semilla consumo);0.01;
SPINOSAD;(Insecticida);Arándano;0.25;
SPINOSAD;(Insecticida);Berro;10;
SPINOSAD;(Insecticida);Cilantro;10;
SPINOSAD;(Insecticida);Durazno ;0.2;
SPINOSAD;(Insecticida);Eneldo;10;
SPINOSAD;(Insecticida);Escarola;10;
SPINOSAD;(Insecticida);Espinaca;10;
SPINOSAD;(Insecticida);Cereza;0.2;
SPINOSAD;(Insecticida);Ciruela ;0.2;
SPINOSAD;(Insecticida);Cítricos en general ;0.5;
SPINOSAD;(Insecticida);Granada;0.02;
SPINOSAD;(Insecticida);Higo;0.02;
SPINOSAD;(Insecticida);Maíz (grano consumo);0.02;
SPINOSAD;(Insecticida);Manzana ;0.2;
SPINOSAD;(Insecticida);Lechuga;10;
SPINOSAD;(Insecticida);Aceituna;0.02;
SPINOSAD;(Insecticida);Pera ;0.2;
SPINOSAD;(Insecticida);Perejil;2;
SPINOSAD;(Insecticida);Oregano;10;
SPINOSAD;(Insecticida);Radicheta;10;
SPINOSAD;(Insecticida);Romero;10;
SPINOSAD;(Insecticida);Salvia;10;
SPINOSAD;(Insecticida);Soja (grano consumo);0.01;
SPINOSAD;(Insecticida);Tomate ;0.03;
SPINOSAD;(Insecticida);Tomillo;10;
SPINOSAD;(Insecticida);Florales y ornamentales;Exento;
SPINOSAD;(Insecticida);Uva ;0.5;
SPIRODICLOFEN;(Acaricida)  ;Cereza;0.5;
SPIRODICLOFEN;(Acaricida)  ;Ciruela;0.05;
SPIRODICLOFEN;(Acaricida)  ;Durazno;1;
SPIRODICLOFEN;(Acaricida)  ;Mandarina;0.02;
SPIRODICLOFEN;(Acaricida)  ;Manzana;0.2;
SPIRODICLOFEN;(Acaricida)  ;Naranja;0.01;
SPIRODICLOFEN;(Acaricida)  ;Nectarín / Pelón;0.5;
SPIRODICLOFEN;(Acaricida)  ;Olivo;0.5;
SPIRODICLOFEN;(Acaricida)  ;Pera;0.2;
SPIRODICLOFEN;(Acaricida)  ;Florales y ornamentales;Exento;
SPIROMESIFEN;(Acaricida);Soja;0.01;
SPIROTETRAMAT;(Insecticida);Algodón;0.4;
SPIROTETRAMAT;(Insecticida);Ciruela;0.1;
SPIROTETRAMAT;(Insecticida);Durazno;0.2;
SPIROTETRAMAT;(Insecticida);Manzana;0.1;
SPIROTETRAMAT;(Insecticida);Nectarín;0.1;
SPIROTETRAMAT;(Insecticida);Pera;0.5;
SPIROTETRAMAT;(Insecticida);Pimiento;0.1;
SPIROTETRAMAT;(Insecticida);Poroto (grano consumo);0.5;
SPIROTETRAMAT;(Insecticida);Tomate;0.1;
SPIROTETRAMAT;(Insecticida);Uva (de Mesa);2;
SPIROTETRAMAT;(Insecticida);Uva (Vinificación);0.3;
SULFATO CUPRICO PENTAHIDRATADO;(Fungicida)  ;Apio;10;
SULFATO CUPRICO PENTAHIDRATADO;(Fungicida)  ;Arándano;0.1;
SULFATO CUPRICO PENTAHIDRATADO;(Fungicida)  ;Arveja (grano consumo);10;
